gene_id	NCBI_ID	genename	genesynonym
YOR077W	854244	RTS2	YOR29-28
YAL043C	851255	PTA1	FUN39
YPL283W-A	NaN	NaN	NaN
YEL075W-A	NaN	NaN	YEL076W-C
YPL115C	855988	BEM3	NaN
YBR268W	852571	MRPL37	YmL37
YJR022W	853479	LSM8	NaN
YER025W	856746	GCD11	SUI4
YPL226W	855875	NEW1	NaN
YLR348C	851063	DIC1	NaN
YNL320W	855396	NaN	NaN
YEL070W	855810	DSF1	NaN
YEL070W	856639	DSF1	NaN
YMR034C	855050	RCH1	NaN
YJL178C	853261	ATG27	ETF1
YMR310C	855358	NaN	NaN
YKL132C	853727	RMA1	NaN
YBR286W	852589	APE3	APY1
YKR032W	NaN	NaN	NaN
YOL163W	854001	NaN	NaN
YDR524C-A	NaN	NaN	YDR524C-C
YGR044C	852935	RME1	CSP1
YJL133C-A	1466465	NaN	NaN
YCR023C	850387	NaN	NaN
YLR057W	850746	MNL2	NaN
YIL024C	854788	NaN	NaN
YHR131W-A	NaN	NaN	NaN
YJL141C	853300	YAK1	NaN
YPR192W	856322	AQY1	NaN
YOR304W	854480	ISW2	NaN
YLR009W	850695	RLP24	NaN
YDL050C	NaN	NaN	NaN
YEL048C	856663	TCA17	NaN
YBR196C-A	1466447	NaN	NaN
YLL024C	850636	SSA2	YG102
YOR255W	854429	OSW1	NaN
YNL141W	855581	AAH1	NaN
YDR535C	NaN	NaN	NaN
YML034W	854974	SRC1	HEH1
YML034W	854974	SRC1	YML033W
YDR202C	851784	RAV2	NaN
YBL091C-A	852186	SCS22	NaN
YER099C	856836	PRS2	NaN
YGL002W	852882	ERP6	NaN
YMR131C	855161	RRB1	NaN
YGL123C-A	NaN	NaN	NaN
YLL048C	850678	YBT1	BAT1
YPL150W	855953	NaN	NaN
YBR113W	NaN	NaN	NaN
YCL067C	850406	HMLALPHA2	ALPHA2
YCL067C	850292	HMLALPHA2	ALPHA2
YMR263W	855305	SAP30	NaN
YOR289W	854463	NaN	NaN
YCL025C	850333	AGP1	YCC5
YDL132W	851424	CDC53	NaN
YKL186C	853649	MTR2	NaN
YCL043C	850314	PDI1	MFP1
YCL043C	850314	PDI1	TRG1
YOL100W	854053	PKH2	NaN
YML031C-A	NaN	NaN	YML032C-A
YDR034C-A	851602	NaN	NaN
YOR337W	854515	TEA1	NaN
YDL013W	851549	SLX5	HEX3
YDL013W	851549	SLX5	ULS2
YDR534C	852147	FIT1	NaN
YLR157C	850857	ASP3-2	ASP3
YLR157C	850855	ASP3-2	ASP3
YLR157C	850852	ASP3-2	ASP3
YLR157C	850850	ASP3-2	ASP3
YGL039W	852844	NaN	NaN
YCR012W	850370	PGK1	NaN
YOL086W-A	854067	MHF1	NaN
YHR049W	856445	FSH1	NaN
YMR113W	855140	FOL3	NaN
YPL055C	856052	LGE1	NaN
YBR213W	852514	MET8	NaN
YLR226W	850923	BUR2	CST4
YCR075C	850438	ERS1	NaN
YDR392W	852001	SPT3	NaN
YAL051W	851247	OAF1	YAF1
YPL079W	856026	RPL21B	L21B
YDR178W	851758	SDH4	ACN18
YDR121W	851699	DPB4	NaN
YJL013C	853439	MAD3	NaN
YDL063C	851497	SYO1	NaN
YJL109C	853335	UTP10	NaN
YJR155W	853620	AAD10	NaN
YKL177W	NaN	NaN	NaN
YDR435C	852045	PPM1	NaN
YIL012W	NaN	NaN	NaN
YDR461W	852072	MFA1	NaN
YHR111W	856511	UBA4	YHR1
YNL033W	855698	NaN	NaN
YDR455C	NaN	NaN	NaN
YKL072W	853790	STB6	NaN
YKL003C	853867	MRP17	NaN
YMR314W	855362	PRE5	NaN
YHR139C-A	NaN	NaN	NaN
YLR070C	850759	XYL2	NaN
YDL069C	851491	CBS1	NaN
YBR183W	852481	YPC1	alkaline ceramidase
