gene_id	type
YDL129W	non_essential
YDL130W	non_essential
YDL130W-A	non_essential
YDL131W	non_essential
YDL132W	essential
YDL133C-A	non_essential
YDL133W	non_essential
YDL134C	non_essential
YDL135C	non_essential
YDL136W	non_essential
YDL137W	non_essential
YDL138W	non_essential
YDL139C	essential
YDL140C	essential
YDL141W	essential
YDL142C	non_essential
YDL143W	essential
YDL144C	non_essential
YDL145C	essential
YDL146W	non_essential
YDL147W	essential
YDL148C	essential
YDL149W	essential
YDL150W	essential
YDL151C	non_essential
YDL152W	essential
YDL153C	essential
YDL154W	non_essential
YDL155W	essential
YDL156W	non_essential
YDL157C	non_essential
YDL158C	non_essential
YDL159C-B	non_essential
YDL159W	non_essential
YDL159W-A	non_essential
YDL160C	non_essential
YDL160C-A	non_essential
YDL161W	non_essential
YDL162C	non_essential
YDL163W	essential
YDL164C	essential
YDL165W	essential
YDL166C	essential
YDL167C	non_essential
YDL168W	non_essential
YDL169C	non_essential
YDL170W	non_essential
YDL171C	non_essential
YDL172C	non_essential
YDL173W	non_essential
YDL174C	non_essential
YDL175C	non_essential
YDL176W	non_essential
YDL177C	non_essential
YDL178W	non_essential
YDL179W	non_essential
YDL180W	non_essential
YDL181W	non_essential
YDL182W	non_essential
YDL183C	non_essential
YDL184C	non_essential
YDL185C-A	non_essential
YDL185W	non_essential
YDL186W	non_essential
YDL187C	non_essential
YDL188C	non_essential
YDL189W	non_essential
YDL190C	non_essential
YDL191W	non_essential
YDL192W	non_essential
YDL193W	essential
YDL194W	non_essential
YDL195W	essential
YDL196W	essential
YDL197C	non_essential
YDL198C	non_essential
YDL199C	non_essential
YDL200C	non_essential
YDL201W	non_essential
YDL202W	non_essential
YDL203C	non_essential
YDL204W	non_essential
YDL205C	essential
YDL206W	non_essential
YDL207W	essential
YDL208W	essential
YDL209C	essential
YDL210W	non_essential
YDL211C	non_essential
YDL212W	essential
YDL213C	non_essential
YDL214C	non_essential
YDL215C	non_essential
YDL216C	non_essential
YDL217C	essential
YDL218W	non_essential
YDL219W	non_essential
YDL220C	essential
YDL221W	essential
YDL222C	non_essential
YDL223C	non_essential
YDL224C	non_essential
YDL225W	non_essential
YDL226C	non_essential
YDL227C	non_essential
YDL228C	non_essential
YDL229W	non_essential
YDL230W	non_essential
YDL231C	non_essential
YDL232W	essential
YDL233W	non_essential
YDL234C	non_essential
YDL235C	essential
YDL236W	non_essential
YDL237W	non_essential
YDL238C	non_essential
YDL239C	non_essential
YDL240C-A	non_essential
YDL240W	non_essential
YDL241W	non_essential
YDL242W	non_essential
YDL243C	non_essential
YDL244W	non_essential
YDL245C	non_essential
YDL246C	non_essential
YDL247W	non_essential
YDL247W-A	non_essential
YDL248W	non_essential
YDR001C	non_essential
YDR002W	essential
YDR003W	non_essential
YDR003W-A	non_essential
YDR004W	non_essential
