Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000002394	YDL235C	S. cerevisiae	YPD1	tYrosine Phosphatase Dependent	""
ORF	S000002395	YDL236W	S. cerevisiae	PHO13	PHOsphate metabolism	4-nitrophenylphosphatase
ORF	S000002396	YDL237W	S. cerevisiae	AIM6	Altered Inheritance rate of Mitochondria	LRC1
ORF	S000002397	YDL238C	S. cerevisiae	GUD1	GUanine Deaminase	guanine deaminase
ORF	S000002398	YDL239C	S. cerevisiae	ADY3	Accumulation of DYads	""
ORF	S000002399	YDL240W	S. cerevisiae	LRG1	Lim-RhoGap homolog	GTPase-activating protein LRG1
ORF	S000002400	YDL241W	S. cerevisiae	""	""	""
ORF	S000002401	YDL242W	S. cerevisiae	""	""	""
ORF	S000002402	YDL243C	S. cerevisiae	AAD4	Aryl-Alcohol Dehydrogenase	putative aryl-alcohol dehydrogenase
ORF	S000002403	YDL244W	S. cerevisiae	THI13	THIamine metabolism	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase
ORF	S000002404	YDL245C	S. cerevisiae	HXT15	HeXose Transporter	hexose transporter HXT15|HLT2
ORF	S000002405	YDL246C	S. cerevisiae	SOR2	""	L-iditol 2-dehydrogenase SOR2
ORF	S000002406	YDL247W	S. cerevisiae	MPH2	Maltose Permease Homolog	alpha-glucoside permease
ORF	S000002407	YDL248W	S. cerevisiae	COS7	COnserved Sequence	""
ORF	S000002408	YDR001C	S. cerevisiae	NTH1	Neutral TreHalase	alpha,alpha-trehalase NTH1
ORF	S000002409	YDR002W	S. cerevisiae	YRB1	Yeast Ran Binder	CST20|HTN1|Ran GTPase-binding protein YRB1|SFO1|STP52
ORF	S000002410	YDR003W	S. cerevisiae	RCR2	Resistance to Congo Red	SSH5
ORF	S000002411	YDR004W	S. cerevisiae	RAD57	RADiation sensitive	putative DNA-dependent ATPase RAD57
ORF	S000002412	YDR005C	S. cerevisiae	MAF1	""	RNA polymerase III-inhibiting protein MAF1
ORF	S000002413	YDR006C	S. cerevisiae	SOK1	Suppressor Of Kinase	""
ORF	S000002414	YDR007W	S. cerevisiae	TRP1	TRyPtophan	phosphoribosylanthranilate isomerase TRP1
ORF	S000002415	YDR008C	S. cerevisiae	""	""	""
ORF	S000002416	YDR009W	S. cerevisiae	GAL3	GALactose metabolism	transcriptional regulator GAL3
ORF	S000002417	YDR010C	S. cerevisiae	""	""	""
ORF	S000002418	YDR011W	S. cerevisiae	SNQ2	Sensitivity to 4-NitroQuinoline-N-oxide	ATP-binding cassette transporter SNQ2
ORF	S000002419	YDR012W	S. cerevisiae	RPL4B	Ribosomal Protein of the Large subunit	L2B|L4|L4B|ribosomal 60S subunit protein L4B|rp2|uL4|YL2
ORF	S000002420	YDR013W	S. cerevisiae	PSF1	Partner of Sld Five	CDC101|DNA replication protein PSF1
ORF	S000002421	YDR014W	S. cerevisiae	RAD61	RADiation sensitive	WPL1
ORF	S000002422	YDR015C	S. cerevisiae	""	""	""
ORF	S000002423	YDR016C	S. cerevisiae	DAD1	Duo1 And Dam1 interacting	""
ORF	S000002424	YDR017C	S. cerevisiae	KCS1	pKC1 Suppressor	inositol polyphosphate kinase KCS1
ORF	S000002425	YDR018C	S. cerevisiae	MLG1	hoMoLoG to PSI1	putative acyltransferase
ORF	S000002426	YDR019C	S. cerevisiae	GCV1	GlyCine cleaVage	glycine decarboxylase subunit T|GSD1
ORF	S000002427	YDR020C	S. cerevisiae	DAS2	Dst1-delta 6-Azauracil Sensitivity	putative uridine kinase DAS2|RRT3
ORF	S000002428	YDR021W	S. cerevisiae	FAL1	eukaryotic translation initiation factor Four A Like	ATP-dependent RNA helicase FAL1
ORF	S000002429	YDR022C	S. cerevisiae	ATG31	AuTophaGy related	CIS1
ORF	S000002430	YDR023W	S. cerevisiae	SES1	SEryl-tRNA Synthetase	serine--tRNA ligase SES1|SerRS
ORF	S000002431	YDR024W	S. cerevisiae	FYV1	Function required for Yeast Viability	""
