Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000005757	YOR231W	S. cerevisiae	MKK1	Mitogen-activated protein Kinase-Kinase	mitogen-activated protein kinase kinase MKK1|SSP32
ORF	S000005758	YOR232W	S. cerevisiae	MGE1	Mitochondrial GrpE	GRPE|YGE1
ORF	S000005759	YOR233W	S. cerevisiae	KIN4	KINase	KIN3|KIN31|putative serine/threonine protein kinase KIN4
ORF	S000005760	YOR234C	S. cerevisiae	RPL33B	Ribosomal Protein of the Large subunit	eL33|L33B|L33e|L37B|ribosomal 60S subunit protein L33B|rp47|RPL37B|Yl37
ORF	S000005761	YOR235W	S. cerevisiae	IRC13	Increased Recombination Centers	""
ORF	S000005762	YOR236W	S. cerevisiae	DFR1	DihydroFolate Reductase	dihydrofolate reductase
ORF	S000005763	YOR237W	S. cerevisiae	HES1	Homologous to kES1	OSH5|oxysterol-binding protein related protein HES1
ORF	S000005764	YOR238W	S. cerevisiae	""	""	""
ORF	S000005765	YOR239W	S. cerevisiae	ABP140	Actin Binding Protein	TRM140|tRNA(Thr) (cytosine(32)-N(3))-methyltransferase|YOR240W
ORF	S000005767	YOR241W	S. cerevisiae	MET7	METhionine requiring	MET23|tetrahydrofolate synthase
ORF	S000005768	YOR242C	S. cerevisiae	SSP2	Sporulation SPecific	""
ORF	S000005769	YOR243C	S. cerevisiae	PUS7	PseudoUridine Synthase	pseudouridine synthase PUS7
ORF	S000005770	YOR244W	S. cerevisiae	ESA1	""	KAT5|NuA4 histone acetyltransferase complex catalytic subunit ESA1|TAS1
ORF	S000005771	YOR245C	S. cerevisiae	DGA1	DiacylGlycerol Acyltransferase	diacylglycerol O-acyltransferase
ORF	S000005772	YOR246C	S. cerevisiae	ENV9	late ENdosome and Vacuole interface function	""
ORF	S000005773	YOR247W	S. cerevisiae	SRL1	Suppressor of Rad53 null Lethality	""
ORF	S000005774	YOR248W	S. cerevisiae	""	""	TOS11
ORF	S000005775	YOR249C	S. cerevisiae	APC5	Anaphase Promoting Complex	anaphase promoting complex subunit 5|RMC1
ORF	S000005776	YOR250C	S. cerevisiae	CLP1	CLeavage/Polyadenylation factor Ia subunit	cleavage polyadenylation factor subunit CLP1
ORF	S000005777	YOR251C	S. cerevisiae	TUM1	ThioUridine Modification	thiosulfate sulfurtransferase
ORF	S000005778	YOR252W	S. cerevisiae	TMA16	Translation Machinery Associated	RBF17
ORF	S000005779	YOR253W	S. cerevisiae	NAT5	N-terminal AcetylTransferase	ARD2|NAA50|peptide alpha-N-acetyltransferase subunit NAT5|ROG2
ORF	S000005780	YOR254C	S. cerevisiae	SEC63	SECretory	protein-transporting protein SEC63|PTL1
ORF	S000005781	YOR255W	S. cerevisiae	OSW1	Outer Spore Wall	""
ORF	S000005782	YOR256C	S. cerevisiae	TRE2	Transferrrin REceptor like	putative zinc metalloprotease
ORF	S000005783	YOR257W	S. cerevisiae	CDC31	Cell Division Cycle	centrin|DSK1
ORF	S000005784	YOR258W	S. cerevisiae	HNT3	Histidine triad NucleoTide-binding	DNA 5'-adenosine monophosphate hydrolase
ORF	S000005785	YOR259C	S. cerevisiae	RPT4	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase	CRL13|PCS1|proteasome regulatory particle base subunit RPT4|SUG2
ORF	S000005786	YOR260W	S. cerevisiae	GCD1	General Control Derepressed	TRA3|translation initiation factor eIF2B subunit gamma
ORF	S000005787	YOR261C	S. cerevisiae	RPN8	Regulatory Particle Non-ATPase	proteasome regulatory particle lid subunit RPN8
ORF	S000005788	YOR262W	S. cerevisiae	GPN2	Gly-Pro-Asn (N) motif	putative GTPase GPN2
ORF	S000005789	YOR263C	S. cerevisiae	""	""	""
ORF	S000005790	YOR264W	S. cerevisiae	DSE3	Daughter Specific Expression	""
ORF	S000005791	YOR265W	S. cerevisiae	RBL2	Rescues Beta-tubulin Lethality	""
ORF	S000005792	YOR266W	S. cerevisiae	PNT1	PeNTamidine resistance	""
ORF	S000005793	YOR267C	S. cerevisiae	HRK1	Hygromycin Resistance Kinase	putative serine/threonine protein kinase HRK1
ORF	S000005794	YOR268C	S. cerevisiae	""	""	""
ORF	S000005795	YOR269W	S. cerevisiae	PAC1	Perish in the Absence of Cin8p	LIS1
ORF	S000005796	YOR270C	S. cerevisiae	VPH1	Vacuolar pH	H(+)-transporting V0 sector ATPase subunit a
ORF	S000005797	YOR271C	S. cerevisiae	FSF1	Fungal SideroFlexin	""
ORF	S000005798	YOR272W	S. cerevisiae	YTM1	""	CST14
ORF	S000005799	YOR273C	S. cerevisiae	TPO4	Transporter of POlyamines	""
ORF	S000005800	YOR274W	S. cerevisiae	MOD5	tRNA MODification	[MOD+]|tRNA dimethylallyltransferase
ORF	S000005801	YOR275C	S. cerevisiae	RIM20	Regulator of IME2	""
ORF	S000005802	YOR276W	S. cerevisiae	CAF20	Cap Associated Factor	CAF2|CAP20|p20
ORF	S000005803	YOR277C	S. cerevisiae	""	""	""
ORF	S000005804	YOR278W	S. cerevisiae	HEM4	HEMe biosynthesis	SLU2|uroporphyrinogen-III synthase HEM4
ORF	S000005805	YOR279C	S. cerevisiae	RFM1	Repression Factor of Middle sporulation element	""
ORF	S000005806	YOR280C	S. cerevisiae	FSH3	Family of Serine Hydrolases	putative serine hydrolase
ORF	S000005807	YOR281C	S. cerevisiae	PLP2	Phosducin-Like Protein	""
ORF	S000005808	YOR282W	S. cerevisiae	""	""	""
ORF	S000005809	YOR283W	S. cerevisiae	""	""	phosphoglycerate mutase
ORF	S000005810	YOR284W	S. cerevisiae	HUA2	""	""
ORF	S000005811	YOR285W	S. cerevisiae	RDL1	RhoDanese-Like protein	thiosulfate sulfurtransferase RDL1
ORF	S000005812	YOR286W	S. cerevisiae	RDL2	RhoDanese-Like protein	AIM42|FMP31|thiosulfate sulfurtransferase RDL2
ORF	S000005813	YOR287C	S. cerevisiae	RRP36	Ribosomal RNA Processing	rRNA-processing protein RRP36
ORF	S000005814	YOR288C	S. cerevisiae	MPD1	Multicopy suppressor of PDI1 deletion	protein disulfide isomerase MPD1
ORF	S000005815	YOR289W	S. cerevisiae	""	""	""
ORF	S000005816	YOR290C	S. cerevisiae	SNF2	Sucrose NonFermenting	GAM1|HAF1|SWI2|SWI/SNF catalytic subunit SNF2|TYE3
ORF	S000005817	YOR291W	S. cerevisiae	YPK9	Yeast ParK9	putative acid anhydride hydrolase
ORF	S000005818	YOR292C	S. cerevisiae	""	""	""
ORF	S000005819	YOR293W	S. cerevisiae	RPS10A	Ribosomal Protein of the Small subunit	eS10|ribosomal 40S subunit protein S10A|S10A|S10e
ORF	S000005820	YOR294W	S. cerevisiae	RRS1	Regulator of Ribosome Synthesis	""
ORF	S000005821	YOR295W	S. cerevisiae	UAF30	Upstream Activation Factor subunit	""
ORF	S000005822	YOR296W	S. cerevisiae	""	""	""
ORF	S000005823	YOR297C	S. cerevisiae	TIM18	Translocase of the Inner Mitochondrial membrane	""
ORF	S000005824	YOR298W	S. cerevisiae	MUM3	MUddled Meiosis	""
ORF	S000005825	YOR299W	S. cerevisiae	BUD7	BUD site selection	exomer complex subunit
ORF	S000005826	YOR300W	S. cerevisiae	""	""	HUF1
ORF	S000005827	YOR301W	S. cerevisiae	RAX1	Revert to Axial	""
ORF	S000005828	YOR302W	S. cerevisiae	""	""	""
ORF	S000005829	YOR303W	S. cerevisiae	CPA1	Carbamyl Phosphate synthetase A	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA1
ORF	S000005830	YOR304C-A	S. cerevisiae	BIL1	Bud6-Interacting Ligand	EDO1
ORF	S000005831	YOR304W	S. cerevisiae	ISW2	Imitation SWitch subfamily	DNA translocase
ORF	S000005832	YOR305W	S. cerevisiae	RRG7	Required for Respiratory Growth	""
ORF	S000005833	YOR306C	S. cerevisiae	MCH5	MonoCarboxylate transporter Homolog	riboflavin transporter
ORF	S000005834	YOR307C	S. cerevisiae	SLY41	Suppressor of Loss of Ypt1	""
ORF	S000005835	YOR308C	S. cerevisiae	SNU66	Small NUclear ribonucleoprotein associated	U4/U6-U5 snRNP complex subunit SNU66
ORF	S000005836	YOR309C	S. cerevisiae	""	""	""
ORF	S000005837	YOR310C	S. cerevisiae	NOP58	NucleOlar Protein of 58 kDa	NOP5|RNA-processing protein NOP58
ORF	S000005838	YOR311C	S. cerevisiae	DGK1	DiacylGlycerol Kinase	diacylglycerol kinase|HSD1
ORF	S000005839	YOR312C	S. cerevisiae	RPL20B	Ribosomal Protein of the Large subunit	eL20|L18B|L20B|L20e|ribosomal 60S subunit protein L20B|RPL18A1
ORF	S000005840	YOR313C	S. cerevisiae	SPS4	SPorulation Specific trancript	""
ORF	S000005841	YOR314W	S. cerevisiae	""	""	""
ORF	S000005842	YOR315W	S. cerevisiae	SFG1	SuperFicial pseudohyphal Growth	""
ORF	S000005843	YOR316C	S. cerevisiae	COT1	CObalt Toxicity	metal cation transporter COT1
ORF	S000005844	YOR317W	S. cerevisiae	FAA1	Fatty Acid Activation	long-chain fatty acid-CoA ligase FAA1
ORF	S000005845	YOR318C	S. cerevisiae	""	""	""
ORF	S000005846	YOR319W	S. cerevisiae	HSH49	Human Sap Homolog	U2 snRNP complex subunit HSH49
ORF	S000005847	YOR320C	S. cerevisiae	GNT1	GlcNAc Transferase	glucose N-acetyltransferase
ORF	S000005848	YOR321W	S. cerevisiae	PMT3	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT3
ORF	S000005849	YOR322C	S. cerevisiae	LDB19	Low Dye Binding	ART1
ORF	S000005850	YOR323C	S. cerevisiae	PRO2	PROline requiring	glutamate-5-semialdehyde dehydrogenase
ORF	S000005851	YOR324C	S. cerevisiae	FRT1	Functionally Related to TCP1	HPH1
ORF	S000005852	YOR325W	S. cerevisiae	""	""	""
ORF	S000005853	YOR326W	S. cerevisiae	MYO2	MYOsin	CDC66|myosin 2
ORF	S000005854	YOR327C	S. cerevisiae	SNC2	Suppressor of the Null allele of CAP	SNAP receptor SNC2
ORF	S000005855	YOR328W	S. cerevisiae	PDR10	Pleiotropic Drug Resistance	ATP-binding cassette multidrug transporter PDR10
ORF	S000005856	YOR329C	S. cerevisiae	SCD5	Suppressor of Clathrin Deficiency	FTB1|SCD7
ORF	S000005857	YOR330C	S. cerevisiae	MIP1	MItochondrial DNA Polymerase	DNA-directed DNA polymerase gamma MIP1
ORF	S000005858	YOR331C	S. cerevisiae	""	""	""
ORF	S000005859	YOR332W	S. cerevisiae	VMA4	Vacuolar Membrane Atpase	H(+)-transporting V1 sector ATPase subunit E
ORF	S000005860	YOR333C	S. cerevisiae	""	""	SWF5
ORF	S000005861	YOR334W	S. cerevisiae	MRS2	Mitochondrial RNA Splicing	""
ORF	S000005862	YOR335C	S. cerevisiae	ALA1	ALAnyl-tRNA synthetase	alanine--tRNA ligase|CDC64
ORF	S000005863	YOR336W	S. cerevisiae	KRE5	Killer toxin REsistant	""
ORF	S000005864	YOR337W	S. cerevisiae	TEA1	Ty Enhancer Activator	""
ORF	S000005865	YOR338W	S. cerevisiae	""	""	""
ORF	S000005866	YOR339C	S. cerevisiae	UBC11	UBiquitin Carrier	putative E2 ubiquitin-protein ligase UBC11
ORF	S000005867	YOR340C	S. cerevisiae	RPA43	RNA Polymerase A	A43|DNA-directed RNA polymerase I subunit RPA43
ORF	S000005868	YOR341W	S. cerevisiae	RPA190	RNA Polymerase A	A190|DNA-directed RNA polymerase I core subunit RPA190|RRN1
ORF	S000005869	YOR342C	S. cerevisiae	""	""	""
ORF	S000005870	YOR343C	S. cerevisiae	""	""	""
ORF	S000005871	YOR344C	S. cerevisiae	TYE7	Ty1-mediated Expression	SGC1
ORF	S000005872	YOR345C	S. cerevisiae	""	""	""
ORF	S000005873	YOR346W	S. cerevisiae	REV1	REVersionless	deoxycytidyl transferase
ORF	S000005874	YOR347C	S. cerevisiae	PYK2	PYruvate Kinase	pyruvate kinase PYK2
ORF	S000005875	YOR348C	S. cerevisiae	PUT4	Proline UTilization	proline permease PUT4
ORF	S000005876	YOR349W	S. cerevisiae	CIN1	Chromosome INstability	""
ORF	S000005877	YOR350C	S. cerevisiae	MNE1	""	""
ORF	S000005878	YOR351C	S. cerevisiae	MEK1	MEiotic Kinase	MRE4|serine/threonine protein kinase MEK1
ORF	S000005879	YOR352W	S. cerevisiae	TFB6	""	TFIIH complex subunit TFB6
ORF	S000005880	YOR353C	S. cerevisiae	SOG2	""	""
ORF	S000005881	YOR354C	S. cerevisiae	MSC6	Meiotic Sister-Chromatid recombination	""
ORF	S000005882	YOR355W	S. cerevisiae	GDS1	""	""
ORF	S000005883	YOR356W	S. cerevisiae	CIR2	Changed Intracellular Redox state	putative electron-transferring-flavoprotein dehydrogenase
ORF	S000005884	YOR357C	S. cerevisiae	SNX3	Sorting NeXin	GRD19
ORF	S000005885	YOR358W	S. cerevisiae	HAP5	Heme Activator Protein	""
ORF	S000005886	YOR359W	S. cerevisiae	VTS1	VTi1-2 Suppressor	[VTS1+]
ORF	S000005887	YOR360C	S. cerevisiae	PDE2	PhosphoDiEsterase	3',5'-cyclic-nucleotide phosphodiesterase PDE2|SRA5
ORF	S000005888	YOR361C	S. cerevisiae	PRT1	PRoTein synthesis	CDC63|DNA26|translation initiation factor eIF3 core subunit b
ORF	S000005889	YOR362C	S. cerevisiae	PRE10	PRoteinase yscE	proteasome core particle subunit alpha 7
ORF	S000005890	YOR363C	S. cerevisiae	PIP2	Peroxisome Induction Pathway	OAF2|oleate-activated transcription factor PIP2
ORF	S000005891	YOR364W	S. cerevisiae	""	""	""
ORF	S000005892	YOR365C	S. cerevisiae	""	""	putative flavin adenine dinucleotide transporter
ORF	S000005893	YOR366W	S. cerevisiae	""	""	""
ORF	S000005894	YOR367W	S. cerevisiae	SCP1	S. cerevisiae CalPonin	""
ORF	S000005895	YOR368W	S. cerevisiae	RAD17	RADiation sensitive	""
ORF	S000005896	YOR369C	S. cerevisiae	RPS12	Ribosomal Protein of the Small subunit	eS12|ribosomal 40S subunit protein S12|S12|S12e
ORF	S000005897	YOR370C	S. cerevisiae	MRS6	Mitochondrial RNA Splicing	GTPase-activating protein MRS6|MSI4
ORF	S000005898	YOR371C	S. cerevisiae	GPB1	""	KRH2
ORF	S000005899	YOR372C	S. cerevisiae	NDD1	Nuclear Division Defective	""
ORF	S000005900	YOR373W	S. cerevisiae	NUD1	""	""
ORF	S000005901	YOR374W	S. cerevisiae	ALD4	ALdehyde Dehydrogenase	ALD7|aldehyde dehydrogenase (NADP(+)) ALD4|ALDH2
ORF	S000005902	YOR375C	S. cerevisiae	GDH1	Glutamate DeHydrogenase	DHE4|GDHA|GDH-A|glutamate dehydrogenase (NADP(+)) GDH1|URE1
ORF	S000005903	YOR376W	S. cerevisiae	""	""	""
ORF	S000005904	YOR377W	S. cerevisiae	ATF1	AcetylTransFerase	alcohol O-acetyltransferase
ORF	S000005905	YOR378W	S. cerevisiae	AMF1	AMmonium Facilitator	""
ORF	S000005906	YOR379C	S. cerevisiae	""	""	""
ORF	S000005907	YOR380W	S. cerevisiae	RDR1	Repressor of Drug Resistance	""
ORF	S000005908	YOR381W	S. cerevisiae	FRE3	Ferric REductase	ferric-chelate reductase
ORF	S000005909	YOR382W	S. cerevisiae	FIT2	Facilitator of Iron Transport	""
ORF	S000005910	YOR383C	S. cerevisiae	FIT3	Facilitator of Iron Transport	""
ORF	S000005911	YOR384W	S. cerevisiae	FRE5	Ferric REductase	putative ferric-chelate reductase
ORF	S000005912	YOR385W	S. cerevisiae	""	""	""
ORF	S000005913	YOR386W	S. cerevisiae	PHR1	PHotoreactivation Repair deficient	deoxyribodipyrimidine photo-lyase PHR1
ORF	S000005914	YOR387C	S. cerevisiae	""	""	""
ORF	S000005915	YOR388C	S. cerevisiae	FDH1	Formate DeHydrogenase	formate dehydrogenase (NAD+)
ORF	S000005916	YOR389W	S. cerevisiae	""	""	""
ORF	S000005917	YOR390W	S. cerevisiae	FEX1	""	fluoride transporter
ORF	S000005918	YOR391C	S. cerevisiae	HSP33	Heat-Shock Protein	glutathione-independent methylglyoxalase family protein
ORF	S000005919	YOR392W	S. cerevisiae	""	""	""
ORF	S000005920	YOR393W	S. cerevisiae	ERR1	Enolase-Related Repeat	phosphopyruvate hydratase ERR1
ORF	S000005921	YOR394W	S. cerevisiae	PAU21	seriPAUperin	seripauperin PAU21
ORF	S000005922	YPL001W	S. cerevisiae	HAT1	Histone AcetylTransferase	histone acetyltransferase catalytic subunit HAT1|KAT1
ORF	S000005923	YPL002C	S. cerevisiae	SNF8	Sucrose NonFermenting	ESCRT-II subunit protein SNF8|VPL14|VPS22
ORF	S000005924	YPL003W	S. cerevisiae	ULA1	Ubiquitin-Like protein Activation	ENR2
ORF	S000005925	YPL004C	S. cerevisiae	LSP1	Long chain bases Stimulate Phosphorylation	lipid-binding protein LSP1
ORF	S000005926	YPL005W	S. cerevisiae	AEP3	ATPase ExPression	""
ORF	S000005927	YPL006W	S. cerevisiae	NCR1	Niemann-pick type C Related	sphingolipid transporter
ORF	S000005928	YPL007C	S. cerevisiae	TFC8	Transcription Factor C	tau 60|transcription factor TFIIIC subunit TFC8
ORF	S000005929	YPL008W	S. cerevisiae	CHL1	CHromosome Loss	CTF1|DNA helicase|LPA9|MCM12
ORF	S000005930	YPL009C	S. cerevisiae	RQC2	Ribosome Quality control Complex	TAE2
ORF	S000005931	YPL010W	S. cerevisiae	RET3	RETrieval from ER	coatomer subunit zeta
ORF	S000005932	YPL011C	S. cerevisiae	TAF3	TATA binding protein-Associated Factor	TAF47|TafII47
ORF	S000005933	YPL012W	S. cerevisiae	RRP12	Ribosomal RNA Processing	mRNA-binding protein RRP12
ORF	S000005934	YPL013C	S. cerevisiae	MRPS16	Mitochondrial Ribosomal Protein, Small subunit	bS16m|mitochondrial 37S ribosomal protein MRPS16
ORF	S000005935	YPL014W	S. cerevisiae	CIP1	Cdk1 Interacting Protein	""
ORF	S000005936	YPL015C	S. cerevisiae	HST2	Homolog of SIR Two (SIR2)	histone deacetylase HST2
ORF	S000005937	YPL016W	S. cerevisiae	SWI1	SWItching deficient	ADR6|GAM3|LPA1|[SWI(+)]|[SWI+]
ORF	S000005938	YPL017C	S. cerevisiae	IRC15	Increased Recombination Centers	""
ORF	S000005939	YPL018W	S. cerevisiae	CTF19	Chromosome Transmission Fidelity	MCM18
ORF	S000005940	YPL019C	S. cerevisiae	VTC3	Vacuolar Transporter Chaperone	PHM2|vacuolar transporter chaperone
ORF	S000005941	YPL020C	S. cerevisiae	ULP1	UbL-specific Protease	NIB1|SUMO protease ULP1
ORF	S000005942	YPL021W	S. cerevisiae	ECM23	ExtraCellular Mutant	SRD2
ORF	S000005943	YPL022W	S. cerevisiae	RAD1	RADiation sensitive	LPB9|RAD12|ssDNA endodeoxyribonuclease RAD1
ORF	S000005944	YPL023C	S. cerevisiae	MET12	METhionine requiring	methylenetetrahydrofolate reductase (NAD(P)H) MET12
ORF	S000005945	YPL024W	S. cerevisiae	RMI1	RecQ Mediated genome Instability	NCE4
ORF	S000005946	YPL025C	S. cerevisiae	""	""	""
ORF	S000005947	YPL026C	S. cerevisiae	SKS1	Suppressor Kinase of SNF3	putative serine/threonine protein kinase SKS1|SHA3
ORF	S000005948	YPL027W	S. cerevisiae	SMA1	Spore Membrane Assembly	""
ORF	S000005949	YPL028W	S. cerevisiae	ERG10	ERGosterol biosynthesis	acetyl-CoA C-acetyltransferase|LPB3|TSM0115
ORF	S000005950	YPL029W	S. cerevisiae	SUV3	SUppressor of Var1	ATP-dependent RNA helicase SUV3|LPB2
ORF	S000005951	YPL030W	S. cerevisiae	TRM44	TRna Methyltransferase	tRNA (uracil) methyltransferase
ORF	S000005952	YPL031C	S. cerevisiae	PHO85	PHOsphate metabolism	cyclin-dependent serine/threonine-protein kinase PHO85|LDB15|phoU
ORF	S000005953	YPL032C	S. cerevisiae	SVL3	Styryl dye Vacuolar Localization	""
ORF	S000005954	YPL033C	S. cerevisiae	SRL4	Suppressor of Rad53 null Lethality or Suppressor of Rad53 and Lcd1	""
ORF	S000005955	YPL034W	S. cerevisiae	""	""	""
ORF	S000005956	YPL035C	S. cerevisiae	""	""	""
ORF	S000005957	YPL036W	S. cerevisiae	PMA2	Plasma Membrane ATPase	H(+)-exporting P2-type ATPase PMA2
ORF	S000005958	YPL037C	S. cerevisiae	EGD1	Enhancer of Gal4 DNA binding	""
ORF	S000005959	YPL038W	S. cerevisiae	MET31	METhionine requiring	""
ORF	S000005960	YPL039W	S. cerevisiae	""	""	""
ORF	S000005961	YPL040C	S. cerevisiae	ISM1	Isoleucyl tRNA Synthetase of Mitochondria	isoleucine--tRNA ligase ISM1
ORF	S000005962	YPL041C	S. cerevisiae	MRX11	Mitochondrial oRganization of gene eXpression (MIOREX)	""
ORF	S000005963	YPL042C	S. cerevisiae	SSN3	Suppressor of SNf1	CDK8|cyclin-dependent serine/threonine protein kinase SSN3|GIG2|NUT7|RYE5|SRB10|SSX7|UME5|URR1
ORF	S000005964	YPL043W	S. cerevisiae	NOP4	NucleOlar Protein	mRNA-binding ribosome biosynthesis protein NOP4|NOP77
ORF	S000005965	YPL044C	S. cerevisiae	""	""	""
ORF	S000005966	YPL045W	S. cerevisiae	VPS16	Vacuolar Protein Sorting	CVT15|SVL6|tethering complex subunit VPS16|VAM9|VPT16
ORF	S000005967	YPL046C	S. cerevisiae	ELC1	ELongin C	elongin C
ORF	S000005968	YPL047W	S. cerevisiae	SGF11	SaGa associated Factor 11kDa	SAGA histone acetyltransferase complex subunit SGF11
ORF	S000005969	YPL048W	S. cerevisiae	CAM1	Calcium And Membrane-binding protein	CPBP|TEF3|translation elongation factor EF1B gamma
ORF	S000005970	YPL049C	S. cerevisiae	DIG1	Down-regulator of Invasive Growth	RST1
ORF	S000005971	YPL050C	S. cerevisiae	MNN9	MaNNosyltransferase	mannosyltransferase complex subunit MNN9
ORF	S000005972	YPL051W	S. cerevisiae	ARL3	ADP-Ribosylation factor-Like	Arf family GTPase ARL3
ORF	S000005973	YPL052W	S. cerevisiae	OAZ1	Ornithine decarboxylase AntiZyme	YPL052W-A
ORF	S000005974	YPL053C	S. cerevisiae	KTR6	Kre Two Related	MNN6|putative mannosyltransferase
ORF	S000005975	YPL054W	S. cerevisiae	LEE1	""	""
ORF	S000005976	YPL055C	S. cerevisiae	LGE1	LarGE cells	""
ORF	S000005977	YPL056C	S. cerevisiae	LCL1	Long Chronological Lifespan	""
ORF	S000005978	YPL057C	S. cerevisiae	SUR1	SUppressor of Rvs161 and rvs167 mutations	BCL21|CSG1|LPE15|mannosylinositol phosphorylceramide synthase catalytic subunit SUR1
ORF	S000005979	YPL058C	S. cerevisiae	PDR12	Pleiotropic Drug Resistance	ATP-binding cassette multidrug transporter PDR12
ORF	S000005980	YPL059W	S. cerevisiae	GRX5	GlutaRedoXin	monothiol glutaredoxin GRX5
ORF	S000005981	YPL060W	S. cerevisiae	MFM1	Mrs2 Function Modulating factor	LPE10
ORF	S000005982	YPL061W	S. cerevisiae	ALD6	ALdehyde Dehydrogenase	ALD1|aldehyde dehydrogenase (NADP(+)) ALD6
ORF	S000005983	YPL062W	S. cerevisiae	""	""	""
ORF	S000005984	YPL063W	S. cerevisiae	TIM50	Translocase of the Inner Mitochondrial membrane	protein translocase subunit TIM50
ORF	S000005985	YPL064C	S. cerevisiae	CWC27	Complexed With Cef1p	putative peptidylprolyl isomerase CWC27
ORF	S000005986	YPL065W	S. cerevisiae	VPS28	Vacuolar Protein Sorting	ESCRT-I subunit protein VPS28|VPL13|VPT28
ORF	S000005987	YPL066W	S. cerevisiae	RGL1	Rho1 GEF Localizing	""
ORF	S000005988	YPL067C	S. cerevisiae	HTC1	Histidine Triad with Channel	""
ORF	S000005989	YPL068C	S. cerevisiae	""	""	""
ORF	S000005990	YPL069C	S. cerevisiae	BTS1	Bet Two Suppressor	farnesyltranstransferase
ORF	S000005991	YPL070W	S. cerevisiae	MUK1	coMpUtationally-linked to Kap95	guanine nucleotide exchange factor MUK1
ORF	S000005992	YPL071C	S. cerevisiae	""	""	""
ORF	S000005993	YPL072W	S. cerevisiae	UBP16	UBiquitin-specific Protease	putative ubiquitin-specific protease UBP16
ORF	S000005994	YPL073C	S. cerevisiae	""	""	""
ORF	S000005995	YPL074W	S. cerevisiae	YTA6	Yeast Tat-binding Analog	putative AAA family ATPase YTA6
ORF	S000005996	YPL075W	S. cerevisiae	GCR1	GlyColysis Regulation	LPF10|SIT3|transcription regulator GCR1
ORF	S000005997	YPL076W	S. cerevisiae	GPI2	GlycosylPhosphatidylInositol anchor biosynthesis	GCR4|phosphatidylinositol N-acetylglucosaminyltransferase
ORF	S000005998	YPL077C	S. cerevisiae	""	""	""
ORF	S000005999	YPL078C	S. cerevisiae	ATP4	ATP synthase	F1F0 ATP synthase subunit 4|LPF7
ORF	S000006000	YPL079W	S. cerevisiae	RPL21B	Ribosomal Protein of the Large subunit	eL21|L21B|L21e|ribosomal 60S subunit protein L21B
ORF	S000006001	YPL080C	S. cerevisiae	""	""	""
ORF	S000006002	YPL081W	S. cerevisiae	RPS9A	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S9A|rp21|S13|S4|S9A|uS4|YS11
ORF	S000006003	YPL082C	S. cerevisiae	MOT1	Modifier of Transcription	BTAF1|BUR3|DNA-binding ATPase|END10|LPF4
ORF	S000006004	YPL083C	S. cerevisiae	SEN54	Splicing ENdonuclease	tRNA splicing endonuclease subunit SEN54
ORF	S000006005	YPL084W	S. cerevisiae	BRO1	BCK1-like Resistance to Osmotic shock	ASI6|LPF2|NPI3|VPS31
ORF	S000006006	YPL085W	S. cerevisiae	SEC16	SECretory	LPF1
ORF	S000006007	YPL086C	S. cerevisiae	ELP3	ELongator Protein	Elongator subunit ELP3|HPA1|KAT9|KTI8|TOT3
ORF	S000006008	YPL087W	S. cerevisiae	YDC1	Yeast DihydroCeramidase	alkaline dihydroceramidase
ORF	S000006009	YPL088W	S. cerevisiae	""	""	aldo-keto reductase superfamily protein
ORF	S000006010	YPL089C	S. cerevisiae	RLM1	Resistance to Lethality of MKK1P386 overexpression	""
ORF	S000006011	YPL090C	S. cerevisiae	RPS6A	Ribosomal Protein of the Small subunit	eS6|ribosomal 40S subunit protein S6A|rp9|S10A|S6A|S6e|YS4
ORF	S000006012	YPL091W	S. cerevisiae	GLR1	GLutathione Reductase	glutathione-disulfide reductase GLR1|LPG17
ORF	S000006013	YPL092W	S. cerevisiae	SSU1	Sensitive to SUlfite	LPG16
ORF	S000006014	YPL093W	S. cerevisiae	NOG1	NucleOlar G-protein	putative GTPase NOG1
ORF	S000006015	YPL094C	S. cerevisiae	SEC62	SECretory	LPG14|Sec63 complex subunit SEC62
ORF	S000006016	YPL095C	S. cerevisiae	EEB1	Ethyl Ester Biosynthesis	medium-chain fatty acid ethyl ester synthase/esterase
ORF	S000006017	YPL096W	S. cerevisiae	PNG1	Peptide N-Glycanase	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
ORF	S000006018	YPL097W	S. cerevisiae	MSY1	Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)	tyrosine--tRNA ligase MSY1
ORF	S000006019	YPL098C	S. cerevisiae	MGR2	Mitochondrial Genome Required	""
ORF	S000006020	YPL099C	S. cerevisiae	INA17	INner membrane Assembly 17 kDa	AIM43|FMP14
ORF	S000006021	YPL100W	S. cerevisiae	ATG21	AuTophaGy related	HSV1|MAI1
ORF	S000006022	YPL101W	S. cerevisiae	ELP4	ELongator Protein	Elongator subunit ELP4|HAP1|KTI9|TOT7
ORF	S000006023	YPL102C	S. cerevisiae	""	""	""
