Gene_Symbol	Gene_ID	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	Haploinsufficiency_Disease_ID	Triplosensitivity_Disease_ID
GRHPR	9380	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009824	
GRIA3	2892	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0010402	
GRID1	2894	0	No evidence available	0	No evidence available		
GRIK2	2898	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012614	
GRIN2A	2903	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
GRIN2B	2904	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013509	
GRIN3B	116444	40	Dosage sensitivity unlikely	0	No evidence available		
GRIP1	23426	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0054737	
GRM1	2911	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013905	
GRM6	2916	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009758	
GRXCR1	389207	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013210	
GTF2H5	404672	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014619	
GTF2I	2969	0	No evidence available	0	No evidence available		
GTF2IRD1	9569	0	No evidence available	0	No evidence available		
GTF2IRD2	84163	0	No evidence available	0	No evidence available		
GUCA1C	9626	40	Dosage sensitivity unlikely	0	No evidence available		
GUCY2C	2984	0	No evidence available	0	No evidence available		
GUSB	2990	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009662	
GYS2	2998	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009414	
H1-4	3008	0	No evidence available	0	No evidence available	MONDO:0044323	
H19	283120	0	No evidence available	0	No evidence available		
H6PD	9563	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011503	
HBA1	3039	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011399	
HBA2	3040	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011399	
HDAC4	9759	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010886	
HDAC8	55869	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010471	
HEXB	3074	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010006	
HFE	3077	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0021001	
HFM1	164045	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014322	
HGF	3082	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012003	
HGSNAT	138050	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009657	
HIRA	7290	0	No evidence available	0	No evidence available		
HIVEP2	3097	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014858	
HIVEP3	59269	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
HJV	148738	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011216	
HLCS	3141	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009666	
HMBS	3145	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008294	
HMGA2	8091	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0020795	
HNF1B	6928	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007669	
HNRNPK	3190	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014700	
HOXD13	3239	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008513	
HOXD9	3235	0	No evidence available	0	No evidence available		
HPGD	3248	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0024546	
HPRT1	3251	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010298	
HPS1	3257	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008748	
HPS3	84343	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013555	
HPSE2	60495	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009368	
HRAS	3265	0	No evidence available	0	No evidence available		
HSD17B10	3028	0	No evidence available	0	No evidence available		
HSD17B13	345275	40	Dosage sensitivity unlikely	0	No evidence available		
HSD17B3	3293	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009916	
HSD17B4	3295	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009300	
HSD3B7	80270	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011906	
HSPG2	3339	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009717	
HTN3	3347	40	Dosage sensitivity unlikely	0	No evidence available		
HUWE1	10075	0	No evidence available	0	No evidence available	MONDO:0010407	MONDO:0010407
HYLS1	219844	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009365	
HYMAI	57061	0	No evidence available	0	No evidence available		
IDS	3423	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010674	
IDUA	3425	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0001586	
IFT140	9742	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009964	
IFT27	11020	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014447	
IFT43	112752	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013573	
IGF1R	3480	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010038	
IGF2	3481	0	No evidence available	0	No evidence available		
IGF2R	3482	0	No evidence available	0	No evidence available		
IGHMBP2	3508	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011436	
IGLL1	3543	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013287	
IKBKG	8517	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010631	
IL10RA	3587	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013153	
IL17RA	23765	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013500	
IL1RAPL1	11141	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010256	
IL21R	50615	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014082	
IL2RA	3559	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011664	
IMMP2L	83943	40	Dosage sensitivity unlikely	0	No evidence available	MONDO:0007661	
IMPA1	3612	0	No evidence available	0	No evidence available		
INPP5E	56623	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008944	
INS	3630	0	No evidence available	0	No evidence available		
IQSEC2	23096	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010656	
IRAK4	51135	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011888	
IRF6	3664	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007333	
ITCH	83737	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013245	
ITGA3	3675	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013881	
ITGB2	3689	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0007293	
ITGB3	3690	0	No evidence available	0	No evidence available		
ITK	3702	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013081	
ITSN1	6453	1	Little evidence for dosage pathogenicity	0	No evidence available		
IYD	389434	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010136	
JAG1	182	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0016862	
JAM3	83700	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013394	
JARID2	3720	0	No evidence available	0	No evidence available		
KANK1	23189	0	No evidence available	0	No evidence available		
KANSL1	284058	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012496	
KARS1	3735	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013489	
KAT6A	7994	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014558	
KAT6B	23522	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011365	
KATNAL2	83473	1	Little evidence for dosage pathogenicity	0	No evidence available		
KCNH2	3757	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013367	
KCNJ1	3758	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009424	
KCNK9	51305	0	No evidence available	0	No evidence available	MONDO:0012856	
KCNQ1	3784	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100316	
KCNQ1OT1	10984	1	Little evidence for dosage pathogenicity	2	Some evidence for dosage pathogenicity	MONDO:0007534	
KCNQ2	3785	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007365	
KCNV2	169522	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012475	
KCTD7	154881	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0020074	
KDM5B	10765	1	Little evidence for dosage pathogenicity	0	No evidence available		
KDM6A	7403	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010465	
KDM6B	23135	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
KERA	11081	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009014	
KHDC3L	154288	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013671	
KIF11	3832	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007918	
KIF1A	547	0	No evidence available	0	No evidence available		
KIF1C	10749	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012651	
KIF7	374654	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008708	
KIFBP	26128	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012280	
KISS1	3814	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013915	
KLF14	136259	0	No evidence available	0	No evidence available		
KLF8	11279	0	No evidence available	0	No evidence available		
KLK12	43849	40	Dosage sensitivity unlikely	0	No evidence available		
KMT2A	4297	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011518	
KMT2B	9757	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0015004	
KMT2C	58508	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
KMT2D	8085	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007843	
KMT2E	55904	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0032793	
KRT24	192666	40	Dosage sensitivity unlikely	0	No evidence available		
KRT37	8688	40	Dosage sensitivity unlikely	0	No evidence available		
L1CAM	3897	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010611	
L3MBTL1	26013	0	No evidence available	0	No evidence available		
LAMA1	284217	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014419	
LAMA2	3908	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100228	
LAMA3	3909	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0017612	
LAMC2	3918	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0017612	
LAMP2	3920	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010281	
LARGE1	9215	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0018276	
LBR	3930	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008974	
LBX1	10660	0	No evidence available	0	No evidence available		MONDO:0009525
LCA5	167691	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011473	
LCT	3938	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009115	
LDLR	3949	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007750	
LEMD3	23592	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008157	
LEPR	3953	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013992	
LETM1	3954	0	No evidence available	0	No evidence available	MONDO:0008684	
LFNG	3955	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012349	
LHX3	8022	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009091	
LHX4	89884	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0009880	
LIG4	3981	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011686	
LIMK1	3984	0	No evidence available	0	No evidence available		
LINS1	55180	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013702	
LIPA	3988	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010204	
LITAF	9516	0	No evidence available	0	No evidence available		
LMAN1	3998	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009206	
LMBR1	64327	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008700	
LMNA	4000	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0007269	
LMNB1	4001	0	No evidence available	3	Sufficient evidence for dosage pathogenicity		MONDO:0008215
LMTK3	114783	1	Little evidence for dosage pathogenicity	0	No evidence available		
LMX1B	4010	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008061	
LOXHD1	125336	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013119	
LPAR6	10161	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010206	
LPIN2	9663	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012316	
LRAT	9227	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013231	
LRBA	987	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013863	
LRP2	4036	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009104	
LRP5	4041	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0011151	
LRPAP1	4043	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014183	
LRPPRC	10128	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009069	
LRRC6	23639	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013979	
LSS	4047	0	No evidence available	0	No evidence available		
LYRM7	90624	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014364	
LYST	1130	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008963	
MAFB	9935	0	No evidence available	0	No evidence available		
MAGEL2	54551	1	Little evidence for dosage pathogenicity	0	No evidence available		
MAGT1	84061	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010455	
MALT1	10892	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014197	
MAN2B1	4125	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009561	
MAOA	4128	1	Little evidence for dosage pathogenicity	0	No evidence available		
MAP2K1	5604	0	No evidence available	0	No evidence available		
MAP2K2	5605	1	Little evidence for dosage pathogenicity	0	No evidence available		
MAP3K1	4214	0	No evidence available	0	No evidence available		
MAPT	4137	0	No evidence available	0	No evidence available		
MARVELD2	153562	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012420	
MASP2	10747	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013423	
MATN3	4148	0	No evidence available	0	No evidence available		
MAX	4149	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008233	
MBD5	55777	3	Sufficient evidence for dosage pathogenicity	1	Little evidence for dosage pathogenicity	MONDO:0007974	
MC2R	4158	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024536	
MCCC1	56922	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008861	
MCEE	84693	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009615	
MCFD2	90411	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013331	
MCPH1	79648	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009617	
MECP2	4204	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010726	MONDO:0010283
MED12	9968	0	No evidence available	0	No evidence available		
MED13L	23389	3	Sufficient evidence for dosage pathogenicity	1	Little evidence for dosage pathogenicity	MONDO:0014773	
MEF2C	4208	3	Sufficient evidence for dosage pathogenicity	1	Little evidence for dosage pathogenicity	MONDO:0013266	
MEFV	4210	0	No evidence available	0	No evidence available		
MEIS2	4212	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
MEN1	4221	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007540	
MEST	4232	0	No evidence available	0	No evidence available		
MET	4233	0	No evidence available	0	No evidence available		
METTL23	124512	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014409	
MFHAS1	9258	0	No evidence available	0	No evidence available		
MFN2	9927	0	No evidence available	0	No evidence available		
MFRP	83552	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012605	
MFSD8	256471	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012588	
MGP	4256	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009495	
MID1	4281	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010222	
MID2	11043	0	No evidence available	0	No evidence available		
MITF	4286	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008671	
MKKS	8195	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0015229	
MLC1	23209	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0024555	
MLH1	4292	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012249	
MLPH	79083	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012220	
MLYCD	23417	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009556	
MMAA	166785	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009613	
MMAB	326625	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009614	
MMACHC	25974	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010184	
MMADHC	27249	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010185	
MMUT	4594	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009612	
MNX1	3110	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008305	
MOCS2	4338	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009644	
MOV10	4343	0	No evidence available	0	No evidence available		
MPDZ	8777	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014085	
MPLKIP	136647	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0021013	
MSH2	4436	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0005835	
MSH3	4437	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0044300	
MSH6	2956	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013710	
MSRB3	253827	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0019497	
MSX1	4487	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007129	
MTAP	4507	1	Little evidence for dosage pathogenicity	0	No evidence available		
MTFMT	123263	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013987	
MTHFR	4524	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009353	
MTM1	4534	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010683	
MTMR2	8898	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011066	
MTO1	25821	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013865	
MTR	4548	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009609	
MTRR	4552	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009354	
MTTP	4547	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008692	
MUTYH	4595	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012041	
MYBPC3	4607	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007268	
MYCN	4613	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008115	
MYH10	4628	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
MYH11	4629	0	No evidence available	0	No evidence available		
MYH7	4625	0	No evidence available	0	No evidence available		
MYL2	4633	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012112	
MYL3	4634	0	No evidence available	0	No evidence available		
MYLK	4638	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0013418	
MYO15A	51168	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010860	
MYO1E	4643	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013589	
MYO3A	53904	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011774	
MYO5A	4644	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008962	
MYO5B	4645	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009635	
MYT1L	23040	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014678	
NAA10	8260	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100124	
NAA15	80155	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
NAALADL2	254827	0	No evidence available	0	No evidence available		
NAT8L	339983	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013549	
NBAS	51594	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013889	
NBEA	26960	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
NBN	4683	3	Sufficient evidence for dosage pathogenicity	0	No evidence available		
NCF1	653361	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009309	
NCF2	4688	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009310	
NCF4	4689	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013507	
NCKAP1	10787	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
NDE1	54820	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013527	
NDN	4692	0	No evidence available	0	No evidence available		
NDP	4693	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010691	
NDRG1	10397	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011085	
NDUFA1	4694	0	No evidence available	0	No evidence available		
NDUFA10	4705	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009723	
NDUFAF1	51103	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100224	
NDUFAF2	91942	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009723	
NDUFAF5	79133	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100224	
